subject,relation,object,subject_count
rocket,Dominant_start_handshape,r,3
rocket,Dominant_end_handshape,r,3
rocket,sign_type,lexical signs,3
think+(2h)pass–out_2,Dominant_start_handshape,1,3
think+(2h)pass–out_2,Dominant_end_handshape,a,3
think+(2h)pass–out_2,sign_type,compound signs,3
female–figure,Dominant_start_handshape,b–l,4
female–figure,Dominant_end_handshape,b–l,4
female–figure,sign_type,lexical signs,4
female–figure,Dominant_end_handshape,crvd–b,4
stuck,Dominant_start_handshape,v,28
stuck,Dominant_end_handshape,v,28
stuck,sign_type,lexical signs,28
stuck,sign_type,lexical signs,28
stuck,Sign_Duration,600,28
stuck,Handshape,v,28
stuck,Selected_Fingers,im,28
stuck,Flexion,fully open,28
stuck,Flexion_Change,False,28
stuck,Spread,True,28
stuck,Spread_Change,False,28
stuck,Thumb_Position,closed,28
stuck,Thumb_Contact,False,28
stuck,Sign_Type,one handed,28
stuck,Path_Movement,straight,28
stuck,Repeated_Movement,False,28
stuck,Major_Location,body,28
stuck,Minor_Location,neck,28
stuck,Contact,False,28
stuck,Wrist_Twist,False,28
sweater,Dominant_start_handshape,s,31
sweater,Dominant_end_handshape,5,31
sweater,sign_type,lexical signs,31
sweater,Dominant_start_handshape,5,31
sweater,sign_type,lexical signs,31
sweater,Sign_Duration,1100,31
sweater,Handshape,c,31
sweater,Selected_Fingers,imrp,31
sweater,Flexion,curved,31
sweater,Flexion_Change,False,31
sweater,Spread,False,31
sweater,Spread_Change,False,31
sweater,Thumb_Position,open,31
sweater,Thumb_Contact,False,31
sweater,Sign_Type,symmetrical or alternating,31
sweater,Path_Movement,curved,31
sweater,Repeated_Movement,False,31
sweater,Major_Location,body,31
sweater,Minor_Location,torso top,31
sweater,Second_Minor_Location,hips,31
sweater,Contact,True,31
sweater,Nondominant_Handshape,c,31
sweater,Wrist_Twist,True,31
upside–down,Dominant_start_handshape,crvd–5,3
upside–down,Dominant_end_handshape,crvd–5,3
upside–down,sign_type,lexical signs,3
hate,Dominant_start_handshape,8,31
hate,Dominant_end_handshape,crvd–sprd–b,31
hate,sign_type,lexical signs,31
hate,Dominant_start_handshape,cocked–8,31
hate,Dominant_end_handshape,5,31
hate,Sign_Duration,600,31
hate,Handshape,5,31
hate,Selected_Fingers,imrp,31
hate,Flexion,fully open,31
hate,Flexion_Change,False,31
hate,Spread,True,31
hate,Spread_Change,False,31
hate,Thumb_Position,open,31
hate,Thumb_Contact,False,31
hate,Sign_Type,symmetrical or alternating,31
hate,Path_Movement,curved,31
hate,Repeated_Movement,False,31
hate,Major_Location,head,31
hate,Minor_Location,chin,31
hate,Second_Minor_Location,head away,31
hate,Contact,True,31
hate,Nondominant_Handshape,5,31
hate,Wrist_Twist,False,31
face,Dominant_start_handshape,1,26
face,Dominant_end_handshape,1,26
face,sign_type,lexical signs,26
face,Dominant_start_handshape,5,26
face,Dominant_end_handshape,5,26
face,Sign_Duration,1200,26
face,Handshape,1,26
face,Selected_Fingers,i,26
face,Flexion,fully open,26
face,Flexion_Change,False,26
face,Thumb_Position,closed,26
face,Thumb_Contact,False,26
face,Sign_Type,one handed,26
face,Path_Movement,circular,26
face,Repeated_Movement,True,26
face,Major_Location,head,26
face,Minor_Location,head away,26
face,Second_Minor_Location,head away,26
face,Contact,False,26
face,Wrist_Twist,False,26
park,Dominant_start_handshape,3,29
park,Dominant_end_handshape,3,29
park,sign_type,lexical signs,29
park,sign_type,lexical signs,29
park,Sign_Duration,800,29
park,Handshape,3,29
park,Selected_Fingers,im,29
park,Flexion,fully open,29
park,Flexion_Change,False,29
park,Spread,True,29
park,Spread_Change,False,29
park,Thumb_Position,open,29
park,Thumb_Contact,False,29
park,Sign_Type,asymmetrical different handshape,29
park,Path_Movement,straight,29
park,Repeated_Movement,False,29
park,Major_Location,hand,29
park,Minor_Location,palm,29
park,Contact,True,29
park,Nondominant_Handshape,b,29
park,Wrist_Twist,False,29
peak–mountain,Dominant_start_handshape,b–l,4
peak–mountain,Dominant_end_handshape,b–l,4
peak–mountain,sign_type,lexical signs,4
peak–mountain,Dominant_start_handshape,crvd–b,4
all–right,Dominant_start_handshape,b–l,4
all–right,Dominant_end_handshape,b–l,4
all–right,sign_type,lexical signs,4
all–right,sign_type,lexical signs,4
nineteen,Dominant_start_handshape,a,4
nineteen,Dominant_end_handshape,f,4
nineteen,sign_type,number signs,4
nineteen,Dominant_start_handshape,f,4
dinner+box/room,Dominant_start_handshape,d,3
dinner+box/room,Dominant_end_handshape,b–l,3
dinner+box/room,sign_type,compound signs,3
both,Dominant_start_handshape,v,31
both,Dominant_end_handshape,bent–v,31
both,sign_type,lexical signs,31
both,Dominant_end_handshape,bent–u,31
both,sign_type,lexical signs,31
both,Sign_Duration,700,31
both,Handshape,v,31
both,Selected_Fingers,im,31
both,Flexion,fully open,31
both,Flexion_Change,False,31
both,Spread,True,31
both,Spread_Change,True,31
both,Thumb_Position,closed,31
both,Thumb_Contact,False,31
both,Sign_Type,asymmetrical different handshape,31
both,Path_Movement,straight,31
both,Repeated_Movement,False,31
both,Major_Location,hand,31
both,Minor_Location,palm,31
both,Second_Minor_Location,hand away,31
both,Contact,True,31
both,Nondominant_Handshape,c,31
both,Wrist_Twist,False,31
lipread,Dominant_start_handshape,v,29
lipread,Dominant_end_handshape,v,29
lipread,sign_type,lexical signs,29
lipread,sign_type,lexical signs,29
lipread,Sign_Duration,900,29
lipread,Handshape,v,29
lipread,Selected_Fingers,im,29
lipread,Flexion,fully open,29
lipread,Flexion_Change,False,29
lipread,Spread,True,29
lipread,Spread_Change,False,29
lipread,Thumb_Position,closed,29
lipread,Thumb_Contact,False,29
lipread,Sign_Type,one handed,29
lipread,Path_Movement,straight,29
lipread,Repeated_Movement,True,29
lipread,Major_Location,head,29
lipread,Minor_Location,head away,29
lipread,Second_Minor_Location,head away,29
lipread,Contact,False,29
lipread,Wrist_Twist,False,29
about,Dominant_start_handshape,1,4
about,Dominant_end_handshape,1,4
about,sign_type,lexical signs,4
about,sign_type,lexical signs,4
any+one_2,Dominant_start_handshape,10,3
any+one_2,Dominant_end_handshape,1,3
any+one_2,sign_type,compound signs,3
red+slice,Dominant_start_handshape,1,3
red+slice,Dominant_end_handshape,1,3
red+slice,sign_type,compound signs,3
go–to–it,Dominant_start_handshape,1,4
go–to–it,Dominant_end_handshape,bent–1,4
go–to–it,sign_type,lexical signs,4
go–to–it,Dominant_end_handshape,1,4
single,Dominant_start_handshape,b,28
single,Dominant_end_handshape,b,28
single,sign_type,lexical signs,28
single,Dominant_start_handshape,1,28
single,Dominant_end_handshape,1,28
single,sign_type,lexical signs,28
single,Sign_Duration,700,28
single,Handshape,1,28
single,Selected_Fingers,i,28
single,Flexion,fully open,28
single,Flexion_Change,False,28
single,Thumb_Position,closed,28
single,Thumb_Contact,False,28
single,Sign_Type,one handed,28
single,Path_Movement,z–shaped,28
single,Repeated_Movement,False,28
single,Major_Location,head,28
single,Minor_Location,chin,28
single,Second_Minor_Location,chin,28
single,Contact,True,28
single,Wrist_Twist,False,28
expensive,Dominant_start_handshape,flat–o,31
expensive,Dominant_end_handshape,crvd–5,31
expensive,sign_type,lexical signs,31
expensive,Dominant_end_handshape,5,31
expensive,sign_type,lexical signs,31
expensive,Sign_Duration,600,31
expensive,Handshape,flat_o,31
expensive,Selected_Fingers,imrp,31
expensive,Flexion,flat,31
expensive,Flexion_Change,False,31
expensive,Spread,False,31
expensive,Spread_Change,False,31
expensive,Thumb_Position,open,31
expensive,Thumb_Contact,True,31
expensive,Sign_Type,asymmetrical different handshape,31
expensive,Path_Movement,back and forth,31
expensive,Repeated_Movement,False,31
expensive,Major_Location,hand,31
expensive,Minor_Location,palm,31
expensive,Second_Minor_Location,hand away,31
expensive,Contact,True,31
expensive,Nondominant_Handshape,b,31
expensive,Wrist_Twist,True,31
camp,Dominant_start_handshape,i–l–y,6
camp,Dominant_end_handshape,10,6
camp,sign_type,lexical signs,6
camp,Dominant_start_handshape,horns,6
camp,Dominant_end_handshape,horns,6
camp,sign_type,lexical signs,6
nine+hour,Dominant_start_handshape,f,3
nine+hour,Dominant_end_handshape,1,3
nine+hour,sign_type,compound signs,3
become,Dominant_start_handshape,b–l,30
become,Dominant_end_handshape,b–l,30
become,sign_type,lexical signs,30
become,sign_type,lexical signs,30
become,Sign_Duration,900,30
become,Handshape,open_b,30
become,Selected_Fingers,imrp,30
become,Flexion,fully open,30
become,Flexion_Change,False,30
become,Spread,False,30
become,Spread_Change,False,30
become,Thumb_Position,open,30
become,Thumb_Contact,False,30
become,Sign_Type,symmetrical or alternating,30
become,Path_Movement,curved,30
become,Repeated_Movement,False,30
become,Major_Location,neutral,30
become,Minor_Location,neutral,30
become,Second_Minor_Location,neutral,30
become,Contact,True,30
become,Nondominant_Handshape,open_b,30
become,Wrist_Twist,True,30
#adj,Dominant_start_handshape,a,3
#adj,Dominant_end_handshape,i_j,3
#adj,sign_type,loan signs,3
fun,Dominant_start_handshape,u,28
fun,Dominant_end_handshape,u,28
fun,sign_type,lexical signs,28
fun,sign_type,lexical signs,28
fun,Sign_Duration,700,28
fun,Handshape,h,28
fun,Selected_Fingers,im,28
fun,Flexion,fully open,28
fun,Flexion_Change,False,28
fun,Spread,False,28
fun,Spread_Change,False,28
fun,Thumb_Position,closed,28
fun,Thumb_Contact,False,28
fun,Sign_Type,one handed,28
fun,Path_Movement,none,28
fun,Repeated_Movement,False,28
fun,Major_Location,head,28
fun,Minor_Location,cheek nose,28
fun,Contact,True,28
fun,Wrist_Twist,False,28
point–to,Dominant_start_handshape,1,4
point–to,Dominant_end_handshape,1,4
point–to,sign_type,lexical signs,4
point–to,sign_type,lexical signs,4
jaw,Dominant_start_handshape,g,5
jaw,Dominant_end_handshape,g,5
jaw,sign_type,lexical signs,5
jaw,Dominant_start_handshape,1,5
jaw,Dominant_end_handshape,1,5
think+mix–up,Dominant_start_handshape,1,3
think+mix–up,Dominant_end_handshape,crvd–5,3
think+mix–up,sign_type,compound signs,3
(s)old+less–than,Dominant_start_handshape,s,4
(s)old+less–than,Dominant_end_handshape,bent–b–l,4
(s)old+less–than,sign_type,compound signs,4
(s)old+less–than,Dominant_end_handshape,b–xd,4
#no,Dominant_start_handshape,u–l,6
#no,Dominant_end_handshape,flat–o–2,6
#no,sign_type,loan signs,6
#no,Dominant_end_handshape,flat–o_2,6
#no,Dominant_end_handshape,u–l,6
#no,sign_type,loan signs,6
ear_2/birthday_2+ear–hurt,Dominant_start_handshape,a,3
ear_2/birthday_2+ear–hurt,Dominant_end_handshape,bent–1,3
ear_2/birthday_2+ear–hurt,sign_type,compound signs,3
five–hours,Dominant_start_handshape,5,3
five–hours,Dominant_end_handshape,5,3
five–hours,sign_type,lexical signs,3
five,Dominant_start_handshape,5,3
five,Dominant_end_handshape,5,3
five,sign_type,number signs,3
frustrated/thwarted,Dominant_start_handshape,b,3
frustrated/thwarted,Dominant_end_handshape,b,3
frustrated/thwarted,sign_type,lexical signs,3
few/close,Dominant_start_handshape,f,4
few/close,Dominant_end_handshape,f,4
few/close,sign_type,lexical signs,4
few/close,sign_type,lexical signs,4
service,Dominant_start_handshape,horns,4
service,Dominant_end_handshape,horns,4
service,sign_type,lexical signs,4
service,sign_type,lexical signs,4
destroy,Dominant_start_handshape,5,31
destroy,Dominant_end_handshape,a,31
destroy,sign_type,lexical signs,31
destroy,Dominant_end_handshape,s,31
destroy,sign_type,lexical signs,31
destroy,Sign_Duration,1100,31
destroy,Handshape,5,31
destroy,Selected_Fingers,imrp,31
destroy,Flexion,fully open,31
destroy,Flexion_Change,True,31
destroy,Spread,True,31
destroy,Spread_Change,True,31
destroy,Thumb_Position,open,31
destroy,Thumb_Contact,False,31
destroy,Sign_Type,symmetrical or alternating,31
destroy,Path_Movement,back and forth,31
destroy,Repeated_Movement,False,31
destroy,Major_Location,neutral,31
destroy,Minor_Location,neutral,31
destroy,Second_Minor_Location,neutral,31
destroy,Contact,True,31
destroy,Nondominant_Handshape,5,31
destroy,Wrist_Twist,False,31
department,Dominant_start_handshape,d,26
department,Dominant_end_handshape,d,26
department,sign_type,lexical signs,26
department,sign_type,lexical signs,26
department,Sign_Duration,400,26
department,Handshape,d,26
department,Selected_Fingers,m,26
department,Flexion,curved,26
department,Flexion_Change,False,26
department,Thumb_Position,open,26
department,Thumb_Contact,True,26
department,Sign_Type,symmetrical or alternating,26
department,Path_Movement,curved,26
department,Repeated_Movement,False,26
department,Major_Location,neutral,26
department,Minor_Location,neutral,26
department,Second_Minor_Location,neutral,26
department,Contact,True,26
department,Nondominant_Handshape,1,26
department,Wrist_Twist,True,26
blind,Dominant_start_handshape,crvd–v,27
blind,Dominant_end_handshape,crvd–v,27
blind,sign_type,lexical signs,27
blind,Sign_Duration,400,27
blind,Handshape,curved_v,27
blind,Selected_Fingers,im,27
blind,Flexion,curved,27
blind,Flexion_Change,False,27
blind,Spread,True,27
blind,Spread_Change,False,27
blind,Thumb_Position,closed,27
blind,Thumb_Contact,False,27
blind,Sign_Type,one handed,27
blind,Path_Movement,curved,27
blind,Repeated_Movement,False,27
blind,Major_Location,head,27
blind,Minor_Location,eye,27
blind,Contact,True,27
blind,Wrist_Twist,False,27
interrupt,Dominant_start_handshape,b–l,3
interrupt,Dominant_end_handshape,b–l,3
interrupt,sign_type,lexical signs,3
night,Dominant_start_handshape,bent–b–l,31
night,Dominant_end_handshape,bent–b–l,31
night,sign_type,lexical signs,31
night,Dominant_start_handshape,bent–b,31
night,Dominant_end_handshape,bent–b,31
night,sign_type,lexical signs,31
night,Sign_Duration,1000,31
night,Handshape,flat_b,31
night,Selected_Fingers,imrp,31
night,Flexion,flat,31
night,Flexion_Change,False,31
night,Spread,False,31
night,Spread_Change,False,31
night,Thumb_Position,open,31
night,Thumb_Contact,False,31
night,Sign_Type,asymmetrical same handshape,31
night,Path_Movement,straight,31
night,Repeated_Movement,True,31
night,Major_Location,hand,31
night,Minor_Location,palm back,31
night,Contact,True,31
night,Nondominant_Handshape,flat_b,31
night,Wrist_Twist,False,31
hear/listen,Dominant_start_handshape,crvd–3,6
hear/listen,Dominant_end_handshape,crvd–3,6
hear/listen,sign_type,lexical signs,6
hear/listen,Dominant_start_handshape,crvd–5,6
hear/listen,Dominant_end_handshape,crvd–5,6
hear/listen,sign_type,lexical signs,6
insult,Dominant_start_handshape,1,25
insult,Dominant_end_handshape,1,25
insult,sign_type,lexical signs,25
insult,sign_type,lexical signs,25
insult,Sign_Duration,200,25
insult,Handshape,1,25
insult,Selected_Fingers,i,25
insult,Flexion,fully open,25
insult,Flexion_Change,False,25
insult,Thumb_Position,closed,25
insult,Thumb_Contact,False,25
insult,Sign_Type,one handed,25
insult,Path_Movement,curved,25
insult,Repeated_Movement,False,25
insult,Major_Location,neutral,25
insult,Minor_Location,neutral,25
insult,Second_Minor_Location,neutral,25
insult,Contact,False,25
insult,Wrist_Twist,True,25
darts,Dominant_start_handshape,baby–o,3
darts,Dominant_end_handshape,l,3
darts,sign_type,lexical signs,3
think+grab–chance,Dominant_start_handshape,1,4
think+grab–chance,Dominant_end_handshape,a,4
think+grab–chance,sign_type,compound signs,4
think+grab–chance,Dominant_end_handshape,s,4
insurance/infection,Dominant_start_handshape,i,4
insurance/infection,Dominant_end_handshape,i,4
insurance/infection,sign_type,lexical signs,4
insurance/infection,sign_type,lexical signs,4
cent+one_2,Dominant_start_handshape,1,3
cent+one_2,Dominant_end_handshape,d,3
cent+one_2,sign_type,compound signs,3
leave,Dominant_start_handshape,5,32
leave,Dominant_end_handshape,a,32
leave,sign_type,lexical signs,32
leave,Dominant_start_handshape,b–l,32
leave,Dominant_end_handshape,s,32
leave,sign_type,lexical signs,32
leave,Sign_Duration,300,32
leave,Handshape,open_b,32
leave,Selected_Fingers,imrp,32
leave,Flexion,fully open,32
leave,Flexion_Change,True,32
leave,Spread,False,32
leave,Spread_Change,False,32
leave,Thumb_Position,open,32
leave,Thumb_Contact,False,32
leave,Sign_Type,symmetrical or alternating,32
leave,Path_Movement,straight,32
leave,Repeated_Movement,False,32
leave,Major_Location,neutral,32
leave,Minor_Location,neutral,32
leave,Second_Minor_Location,neutral,32
leave,Contact,False,32
leave,Nondominant_Handshape,open_b,32
leave,Wrist_Twist,False,32
gone,Dominant_start_handshape,crvd–sprd–b,30
gone,Dominant_end_handshape,flat–o,30
gone,sign_type,lexical signs,30
gone,Dominant_start_handshape,5,30
gone,Sign_Duration,600,30
gone,Handshape,flatspread_5,30
gone,Selected_Fingers,imrp,30
gone,Flexion,flat,30
gone,Flexion_Change,True,30
gone,Spread,True,30
gone,Spread_Change,True,30
gone,Thumb_Position,open,30
gone,Thumb_Contact,True,30
gone,Sign_Type,asymmetrical different handshape,30
gone,Path_Movement,straight,30
gone,Repeated_Movement,False,30
gone,Major_Location,hand,30
gone,Minor_Location,palm,30
gone,Second_Minor_Location,hand away,30
gone,Contact,True,30
gone,Nondominant_Handshape,c,30
gone,Wrist_Twist,False,30
get–up,Dominant_start_handshape,crvd–v,4
get–up,Dominant_end_handshape,crvd–v,4
get–up,sign_type,lexical signs,4
get–up,sign_type,lexical signs,4
old+four_2,Dominant_start_handshape,c,3
old+four_2,Dominant_end_handshape,4,3
old+four_2,sign_type,compound signs,3
these,Dominant_start_handshape,1,27
these,Dominant_end_handshape,1,27
these,sign_type,lexical signs,27
these,Dominant_start_handshape,bent–1,27
these,Dominant_end_handshape,bent–1,27
these,sign_type,lexical signs,27
these,Sign_Duration,500,27
these,Handshape,1,27
these,Selected_Fingers,i,27
these,Flexion,fully open,27
these,Flexion_Change,False,27
these,Thumb_Position,closed,27
these,Thumb_Contact,False,27
these,Sign_Type,one handed,27
these,Path_Movement,curved,27
these,Repeated_Movement,False,27
these,Major_Location,neutral,27
these,Minor_Location,neutral,27
these,Second_Minor_Location,neutral,27
these,Contact,False,27
these,Wrist_Twist,False,27
invite/hire,Dominant_start_handshape,bent–b,8
invite/hire,Dominant_end_handshape,bent–b,8
invite/hire,sign_type,lexical signs,8
invite/hire,Dominant_start_handshape,crvd–flat–b,8
invite/hire,Dominant_end_handshape,crvd–flat–b,8
invite/hire,Dominant_start_handshape,crvd–b,8
invite/hire,Dominant_end_handshape,crvd–b,8
invite/hire,sign_type,lexical signs,8
sixty–nine,Dominant_start_handshape,6,3
sixty–nine,Dominant_end_handshape,f,3
sixty–nine,sign_type,number signs,3
know–nothing,Dominant_start_handshape,o,4
know–nothing,Dominant_end_handshape,o,4
know–nothing,sign_type,lexical signs,4
know–nothing,sign_type,lexical signs,4
emergency,Dominant_start_handshape,loose–e,4
emergency,Dominant_end_handshape,loose–e,4
emergency,sign_type,lexical signs,4
emergency,sign_type,lexical signs,4
see–see,Dominant_start_handshape,v,4
see–see,Dominant_end_handshape,v,4
see–see,sign_type,lexical signs,4
see–see,sign_type,lexical signs,4
#fix,Dominant_start_handshape,f,3
#fix,Dominant_end_handshape,x,3
#fix,sign_type,loan signs,3
homework,Dominant_start_handshape,1,30
homework,Dominant_end_handshape,s,30
homework,sign_type,lexical signs,30
homework,Dominant_start_handshape,5,30
homework,sign_type,lexical signs,30
homework,Sign_Duration,1000,30
homework,Handshape,o,30
homework,Selected_Fingers,imrp,30
homework,Flexion,curved,30
homework,Flexion_Change,False,30
homework,Spread,False,30
homework,Spread_Change,False,30
homework,Thumb_Position,open,30
homework,Thumb_Contact,True,30
homework,Sign_Type,one handed,30
homework,Path_Movement,curved,30
homework,Repeated_Movement,False,30
homework,Major_Location,head,30
homework,Minor_Location,chin,30
homework,Second_Minor_Location,cheek nose,30
homework,Contact,True,30
homework,Wrist_Twist,False,30
girl+correct,Dominant_start_handshape,10,4
girl+correct,Dominant_end_handshape,1,4
girl+correct,sign_type,compound signs,4
girl+correct,Dominant_end_handshape,l,4
cover,Dominant_start_handshape,crvd–flat–b,5
cover,Dominant_end_handshape,crvd–flat–b,5
cover,sign_type,lexical signs,5
cover,Dominant_start_handshape,b–l,5
cover,Dominant_end_handshape,b–l,5
underpants,Dominant_start_handshape,crvd–l,4
underpants,Dominant_end_handshape,crvd–l,4
underpants,sign_type,lexical signs,4
underpants,Dominant_end_handshape,flat–g,4
(x)fool/doll,Dominant_start_handshape,x,4
(x)fool/doll,Dominant_end_handshape,x,4
(x)fool/doll,sign_type,lexical signs,4
(x)fool/doll,sign_type,lexical signs,4
worse,Dominant_start_handshape,k,30
worse,Dominant_end_handshape,k,30
worse,sign_type,lexical signs,30
worse,sign_type,lexical signs,30
worse,Sign_Duration,800,30
worse,Handshape,v,30
worse,Selected_Fingers,im,30
worse,Flexion,fully open,30
worse,Flexion_Change,False,30
worse,Spread,True,30
worse,Spread_Change,False,30
worse,Thumb_Position,closed,30
worse,Thumb_Contact,False,30
worse,Sign_Type,symmetrical or alternating,30
worse,Path_Movement,straight,30
worse,Repeated_Movement,False,30
worse,Major_Location,neutral,30
worse,Minor_Location,neutral,30
worse,Second_Minor_Location,neutral,30
worse,Contact,True,30
worse,Nondominant_Handshape,v,30
worse,Wrist_Twist,False,30
sixth,Dominant_start_handshape,6,3
sixth,Dominant_end_handshape,6,3
sixth,sign_type,number signs,3
new,Dominant_start_handshape,bent–b–l,32
new,Dominant_end_handshape,bent–b–l,32
new,sign_type,lexical signs,32
new,Dominant_start_handshape,crvd–b,32
new,Dominant_end_handshape,crvd–b,32
new,sign_type,lexical signs,32
new,Sign_Duration,400,32
new,Handshape,c,32
new,Selected_Fingers,imrp,32
new,Flexion,curved,32
new,Flexion_Change,False,32
new,Spread,False,32
new,Spread_Change,False,32
new,Thumb_Position,open,32
new,Thumb_Contact,False,32
new,Sign_Type,asymmetrical different handshape,32
new,Path_Movement,curved,32
new,Repeated_Movement,False,32
new,Major_Location,hand,32
new,Minor_Location,palm,32
new,Second_Minor_Location,hand away,32
new,Contact,True,32
new,Nondominant_Handshape,b,32
new,Wrist_Twist,False,32
eat+box/room,Dominant_start_handshape,flat–o,4
eat+box/room,Dominant_end_handshape,b–l,4
eat+box/room,sign_type,compound signs,4
eat+box/room,sign_type,compound signs,4
twice,Dominant_start_handshape,v,4
twice,Dominant_end_handshape,v,4
twice,sign_type,lexical signs,4
twice,sign_type,lexical signs,4
#hr,Dominant_start_handshape,u,4
#hr,Dominant_end_handshape,r,4
#hr,sign_type,loan signs,4
#hr,sign_type,loan signs,4
turn+brother,Dominant_start_handshape,l,3
turn+brother,Dominant_end_handshape,l,3
turn+brother,sign_type,compound signs,3
address,Dominant_start_handshape,10,21
address,Dominant_end_handshape,10,21
address,sign_type,lexical signs,21
address,sign_type,lexical signs,21
address,Sign_Duration,900,21
address,Handshape,a,21
address,Selected_Fingers,t,21
address,Thumb_Position,open,21
address,Sign_Type,symmetrical or alternating,21
address,Path_Movement,straight,21
address,Repeated_Movement,False,21
address,Major_Location,body,21
address,Minor_Location,torso mid,21
address,Second_Minor_Location,torso top,21
address,Contact,True,21
address,Nondominant_Handshape,a,21
address,Wrist_Twist,False,21
abortion,Dominant_start_handshape,#5–c,4
abortion,Dominant_end_handshape,5,4
abortion,sign_type,lexical signs,4
abortion,Dominant_start_handshape,5,4
triple,Dominant_start_handshape,3,31
triple,Dominant_end_handshape,3,31
triple,sign_type,lexical signs,31
triple,sign_type,number signs,31
triple,sign_type,lexical signs,31
triple,Sign_Duration,600,31
triple,Handshape,3,31
triple,Selected_Fingers,im,31
triple,Flexion,fully open,31
triple,Flexion_Change,False,31
triple,Spread,True,31
triple,Spread_Change,False,31
triple,Thumb_Position,open,31
triple,Thumb_Contact,False,31
triple,Sign_Type,asymmetrical different handshape,31
triple,Path_Movement,curved,31
triple,Repeated_Movement,False,31
triple,Major_Location,hand,31
triple,Minor_Location,palm,31
triple,Second_Minor_Location,hand away,31
triple,Contact,True,31
triple,Nondominant_Handshape,b,31
triple,Wrist_Twist,True,31
bless,Dominant_start_handshape,a,19
bless,Dominant_end_handshape,5,19
bless,sign_type,lexical signs,19
bless,Sign_Duration,900,19
bless,Handshape,a,19
bless,Selected_Fingers,t,19
bless,Thumb_Position,open,19
bless,Sign_Type,symmetrical or alternating,19
bless,Path_Movement,none,19
bless,Repeated_Movement,False,19
bless,Major_Location,head,19
bless,Minor_Location,mouth,19
bless,Contact,True,19
bless,Nondominant_Handshape,a,19
bless,Wrist_Twist,False,19
gift,Dominant_start_handshape,x,28
gift,Dominant_end_handshape,x,28
gift,sign_type,lexical signs,28
gift,Dominant_start_handshape,x–over–thumb,28
gift,Dominant_end_handshape,x–over–thumb,28
gift,sign_type,lexical signs,28
gift,Sign_Duration,700,28
gift,Handshape,bent_1,28
gift,Selected_Fingers,i,28
gift,Flexion,bent,28
gift,Flexion_Change,False,28
gift,Thumb_Position,closed,28
gift,Thumb_Contact,False,28
gift,Sign_Type,symmetrical or alternating,28
gift,Path_Movement,curved,28
gift,Repeated_Movement,False,28
gift,Major_Location,neutral,28
gift,Minor_Location,neutral,28
gift,Second_Minor_Location,neutral,28
gift,Contact,False,28
gift,Nondominant_Handshape,bent_1,28
gift,Wrist_Twist,False,28
in–three–years,Dominant_start_handshape,s,3
in–three–years,Dominant_end_handshape,3,3
in–three–years,sign_type,lexical signs,3
squared,Dominant_start_handshape,v,3
squared,Dominant_end_handshape,v,3
squared,sign_type,number signs,3
jellyfish,Dominant_start_handshape,5,29
jellyfish,Dominant_end_handshape,5,29
jellyfish,sign_type,lexical signs,29
jellyfish,Sign_Duration,1400,29
jellyfish,Handshape,flatspread_5,29
jellyfish,Selected_Fingers,imrp,29
jellyfish,Flexion,flat,29
jellyfish,Flexion_Change,True,29
jellyfish,Spread,True,29
jellyfish,Spread_Change,False,29
jellyfish,Thumb_Position,open,29
jellyfish,Thumb_Contact,False,29
jellyfish,Sign_Type,one handed,29
jellyfish,Path_Movement,z–shaped,29
jellyfish,Repeated_Movement,True,29
jellyfish,Major_Location,neutral,29
jellyfish,Minor_Location,neutral,29
jellyfish,Second_Minor_Location,neutral,29
jellyfish,Contact,False,29
jellyfish,Wrist_Twist,False,29
overhead–projector,Dominant_start_handshape,flat–o,3
overhead–projector,Dominant_end_handshape,crvd–sprd–b,3
overhead–projector,sign_type,lexical signs,3
class+box/room,Dominant_start_handshape,crvd–sprd–b,4
class+box/room,Dominant_end_handshape,b–l,4
class+box/room,sign_type,compound signs,4
class+box/room,Dominant_start_handshape,c,4
book,Dominant_start_handshape,b–l,30
book,Dominant_end_handshape,crvd–b,30
book,sign_type,lexical signs,30
book,sign_type,lexical signs,30
book,Sign_Duration,500,30
book,Handshape,open_b,30
book,Selected_Fingers,imrp,30
book,Flexion,fully open,30
book,Flexion_Change,False,30
book,Spread,False,30
book,Spread_Change,False,30
book,Thumb_Position,open,30
book,Thumb_Contact,False,30
book,Sign_Type,symmetrical or alternating,30
book,Path_Movement,curved,30
book,Repeated_Movement,True,30
book,Major_Location,neutral,30
