subject,relation,object,subject_count
rocket,Dominant_start_handshape,r,3
rocket,Dominant_end_handshape,r,3
rocket,Sign_Type,lexical signs,3
think+(2h)pass–out_2,Dominant_start_handshape,1,3
think+(2h)pass–out_2,Dominant_end_handshape,a,3
think+(2h)pass–out_2,Sign_Type,compound signs,3
female–figure,Dominant_start_handshape,b–l,4
female–figure,Dominant_end_handshape,b–l,4
female–figure,Sign_Type,lexical signs,4
female–figure,Dominant_end_handshape,crvd–b,4
stuck,Dominant_start_handshape,v,19
stuck,Dominant_end_handshape,v,19
stuck,Sign_Type,lexical signs,19
stuck,Sign_Duration,600,19
stuck,Handshape,v,19
stuck,Selected_Fingers,im,19
stuck,Flexion,fully open,19
stuck,Flexion_Change,False,19
stuck,Spread,True,19
stuck,Spread_Change,False,19
stuck,Thumb_Position,closed,19
stuck,Thumb_Contact,False,19
stuck,Sign_Type,one handed,19
stuck,Path_Movement,straight,19
stuck,Repeated_Movement,False,19
stuck,Major_Location,body,19
stuck,Minor_Location,neck,19
stuck,Contact,False,19
stuck,Wrist_Twist,False,19
sweater,Dominant_start_handshape,s,22
sweater,Dominant_end_handshape,5,22
sweater,Sign_Type,lexical signs,22
sweater,Dominant_start_handshape,5,22
sweater,Sign_Duration,1100,22
sweater,Handshape,c,22
sweater,Selected_Fingers,imrp,22
sweater,Flexion,curved,22
sweater,Flexion_Change,False,22
sweater,Spread,False,22
sweater,Spread_Change,False,22
sweater,Thumb_Position,open,22
sweater,Thumb_Contact,False,22
sweater,Sign_Type,symmetrical or alternating,22
sweater,Path_Movement,curved,22
sweater,Repeated_Movement,False,22
sweater,Major_Location,body,22
sweater,Minor_Location,torso top,22
sweater,Second_Minor_Location,hips,22
sweater,Contact,True,22
sweater,Nondominant_Handshape,c,22
sweater,Wrist_Twist,True,22
upside–down,Dominant_start_handshape,crvd–5,3
upside–down,Dominant_end_handshape,crvd–5,3
upside–down,Sign_Type,lexical signs,3
hate,Dominant_start_handshape,8,23
hate,Dominant_end_handshape,crvd–sprd–b,23
hate,Sign_Type,lexical signs,23
hate,Dominant_start_handshape,cocked–8,23
hate,Dominant_end_handshape,5,23
hate,Sign_Duration,600,23
hate,Handshape,5,23
hate,Selected_Fingers,imrp,23
hate,Flexion,fully open,23
hate,Flexion_Change,False,23
hate,Spread,True,23
hate,Spread_Change,False,23
hate,Thumb_Position,open,23
hate,Thumb_Contact,False,23
hate,Sign_Type,symmetrical or alternating,23
hate,Path_Movement,curved,23
hate,Repeated_Movement,False,23
hate,Major_Location,head,23
hate,Minor_Location,chin,23
hate,Second_Minor_Location,head away,23
hate,Contact,True,23
hate,Nondominant_Handshape,5,23
hate,Wrist_Twist,False,23
face,Dominant_start_handshape,1,20
face,Dominant_end_handshape,1,20
face,Sign_Type,lexical signs,20
face,Dominant_start_handshape,5,20
face,Dominant_end_handshape,5,20
face,Sign_Duration,1200,20
face,Handshape,1,20
face,Selected_Fingers,i,20
face,Flexion,fully open,20
face,Flexion_Change,False,20
face,Thumb_Position,closed,20
face,Thumb_Contact,False,20
face,Sign_Type,one handed,20
face,Path_Movement,circular,20
face,Repeated_Movement,True,20
face,Major_Location,head,20
face,Minor_Location,head away,20
face,Second_Minor_Location,head away,20
face,Contact,False,20
face,Wrist_Twist,False,20
park,Dominant_start_handshape,3,20
park,Dominant_end_handshape,3,20
park,Sign_Type,lexical signs,20
park,Sign_Duration,800,20
park,Handshape,3,20
park,Selected_Fingers,im,20
park,Flexion,fully open,20
park,Flexion_Change,False,20
park,Spread,True,20
park,Spread_Change,False,20
park,Thumb_Position,open,20
park,Thumb_Contact,False,20
park,Sign_Type,asymmetrical different handshape,20
park,Path_Movement,straight,20
park,Repeated_Movement,False,20
park,Major_Location,hand,20
park,Minor_Location,palm,20
park,Contact,True,20
park,Nondominant_Handshape,b,20
park,Wrist_Twist,False,20
peak–mountain,Dominant_start_handshape,b–l,4
peak–mountain,Dominant_end_handshape,b–l,4
peak–mountain,Sign_Type,lexical signs,4
peak–mountain,Dominant_start_handshape,crvd–b,4
all–right,Dominant_start_handshape,b–l,3
all–right,Dominant_end_handshape,b–l,3
all–right,Sign_Type,lexical signs,3
nineteen,Dominant_start_handshape,a,4
nineteen,Dominant_end_handshape,f,4
nineteen,Sign_Type,number signs,4
nineteen,Dominant_start_handshape,f,4
dinner+box/room,Dominant_start_handshape,d,3
dinner+box/room,Dominant_end_handshape,b–l,3
dinner+box/room,Sign_Type,compound signs,3
both,Dominant_start_handshape,v,22
both,Dominant_end_handshape,bent–v,22
both,Sign_Type,lexical signs,22
both,Dominant_end_handshape,bent–u,22
both,Sign_Duration,700,22
both,Handshape,v,22
both,Selected_Fingers,im,22
both,Flexion,fully open,22
both,Flexion_Change,False,22
both,Spread,True,22
both,Spread_Change,True,22
both,Thumb_Position,closed,22
both,Thumb_Contact,False,22
both,Sign_Type,asymmetrical different handshape,22
both,Path_Movement,straight,22
both,Repeated_Movement,False,22
both,Major_Location,hand,22
both,Minor_Location,palm,22
both,Second_Minor_Location,hand away,22
both,Contact,True,22
both,Nondominant_Handshape,c,22
both,Wrist_Twist,False,22
lipread,Dominant_start_handshape,v,20
lipread,Dominant_end_handshape,v,20
lipread,Sign_Type,lexical signs,20
lipread,Sign_Duration,900,20
lipread,Handshape,v,20
lipread,Selected_Fingers,im,20
lipread,Flexion,fully open,20
lipread,Flexion_Change,False,20
lipread,Spread,True,20
lipread,Spread_Change,False,20
lipread,Thumb_Position,closed,20
lipread,Thumb_Contact,False,20
lipread,Sign_Type,one handed,20
lipread,Path_Movement,straight,20
lipread,Repeated_Movement,True,20
lipread,Major_Location,head,20
lipread,Minor_Location,head away,20
lipread,Second_Minor_Location,head away,20
lipread,Contact,False,20
lipread,Wrist_Twist,False,20
about,Dominant_start_handshape,1,3
about,Dominant_end_handshape,1,3
about,Sign_Type,lexical signs,3
any+one_2,Dominant_start_handshape,10,3
any+one_2,Dominant_end_handshape,1,3
any+one_2,Sign_Type,compound signs,3
red+slice,Dominant_start_handshape,1,3
red+slice,Dominant_end_handshape,1,3
red+slice,Sign_Type,compound signs,3
go–to–it,Dominant_start_handshape,1,4
go–to–it,Dominant_end_handshape,bent–1,4
go–to–it,Sign_Type,lexical signs,4
go–to–it,Dominant_end_handshape,1,4
single,Dominant_start_handshape,b,21
single,Dominant_end_handshape,b,21
single,Sign_Type,lexical signs,21
single,Dominant_start_handshape,1,21
single,Dominant_end_handshape,1,21
single,Sign_Duration,700,21
single,Handshape,1,21
single,Selected_Fingers,i,21
single,Flexion,fully open,21
single,Flexion_Change,False,21
single,Thumb_Position,closed,21
single,Thumb_Contact,False,21
single,Sign_Type,one handed,21
single,Path_Movement,z–shaped,21
single,Repeated_Movement,False,21
single,Major_Location,head,21
single,Minor_Location,chin,21
single,Second_Minor_Location,chin,21
single,Contact,True,21
single,Wrist_Twist,False,21
expensive,Dominant_start_handshape,flat–o,22
expensive,Dominant_end_handshape,crvd–5,22
expensive,Sign_Type,lexical signs,22
expensive,Dominant_end_handshape,5,22
expensive,Sign_Duration,600,22
expensive,Handshape,flat_o,22
expensive,Selected_Fingers,imrp,22
expensive,Flexion,flat,22
expensive,Flexion_Change,False,22
expensive,Spread,False,22
expensive,Spread_Change,False,22
expensive,Thumb_Position,open,22
expensive,Thumb_Contact,True,22
expensive,Sign_Type,asymmetrical different handshape,22
expensive,Path_Movement,back and forth,22
expensive,Repeated_Movement,False,22
expensive,Major_Location,hand,22
expensive,Minor_Location,palm,22
expensive,Second_Minor_Location,hand away,22
expensive,Contact,True,22
expensive,Nondominant_Handshape,b,22
expensive,Wrist_Twist,True,22
camp,Dominant_start_handshape,i–l–y,5
camp,Dominant_end_handshape,10,5
camp,Sign_Type,lexical signs,5
camp,Dominant_start_handshape,horns,5
camp,Dominant_end_handshape,horns,5
nine+hour,Dominant_start_handshape,f,3
nine+hour,Dominant_end_handshape,1,3
nine+hour,Sign_Type,compound signs,3
become,Dominant_start_handshape,b–l,21
become,Dominant_end_handshape,b–l,21
become,Sign_Type,lexical signs,21
become,Sign_Duration,900,21
become,Handshape,open_b,21
become,Selected_Fingers,imrp,21
become,Flexion,fully open,21
become,Flexion_Change,False,21
become,Spread,False,21
become,Spread_Change,False,21
become,Thumb_Position,open,21
become,Thumb_Contact,False,21
become,Sign_Type,symmetrical or alternating,21
become,Path_Movement,curved,21
become,Repeated_Movement,False,21
become,Major_Location,neutral,21
become,Minor_Location,neutral,21
become,Second_Minor_Location,neutral,21
become,Contact,True,21
become,Nondominant_Handshape,open_b,21
become,Wrist_Twist,True,21
#adj,Dominant_start_handshape,a,3
#adj,Dominant_end_handshape,i_j,3
#adj,Sign_Type,loan signs,3
fun,Dominant_start_handshape,u,19
fun,Dominant_end_handshape,u,19
fun,Sign_Type,lexical signs,19
fun,Sign_Duration,700,19
fun,Handshape,h,19
fun,Selected_Fingers,im,19
fun,Flexion,fully open,19
fun,Flexion_Change,False,19
fun,Spread,False,19
fun,Spread_Change,False,19
fun,Thumb_Position,closed,19
fun,Thumb_Contact,False,19
fun,Sign_Type,one handed,19
fun,Path_Movement,none,19
fun,Repeated_Movement,False,19
fun,Major_Location,head,19
fun,Minor_Location,cheek nose,19
fun,Contact,True,19
fun,Wrist_Twist,False,19
point–to,Dominant_start_handshape,1,3
point–to,Dominant_end_handshape,1,3
point–to,Sign_Type,lexical signs,3
jaw,Dominant_start_handshape,g,5
jaw,Dominant_end_handshape,g,5
jaw,Sign_Type,lexical signs,5
jaw,Dominant_start_handshape,1,5
jaw,Dominant_end_handshape,1,5
think+mix–up,Dominant_start_handshape,1,3
think+mix–up,Dominant_end_handshape,crvd–5,3
think+mix–up,Sign_Type,compound signs,3
(s)old+less–than,Dominant_start_handshape,s,4
(s)old+less–than,Dominant_end_handshape,bent–b–l,4
(s)old+less–than,Sign_Type,compound signs,4
(s)old+less–than,Dominant_end_handshape,b–xd,4
#no,Dominant_start_handshape,u–l,5
#no,Dominant_end_handshape,flat–o–2,5
#no,Sign_Type,loan signs,5
#no,Dominant_end_handshape,flat–o_2,5
#no,Dominant_end_handshape,u–l,5
ear_2/birthday_2+ear–hurt,Dominant_start_handshape,a,3
ear_2/birthday_2+ear–hurt,Dominant_end_handshape,bent–1,3
ear_2/birthday_2+ear–hurt,Sign_Type,compound signs,3
five–hours,Dominant_start_handshape,5,3
five–hours,Dominant_end_handshape,5,3
five–hours,Sign_Type,lexical signs,3
five,Dominant_start_handshape,5,3
five,Dominant_end_handshape,5,3
five,Sign_Type,number signs,3
frustrated/thwarted,Dominant_start_handshape,b,3
frustrated/thwarted,Dominant_end_handshape,b,3
frustrated/thwarted,Sign_Type,lexical signs,3
few/close,Dominant_start_handshape,f,3
few/close,Dominant_end_handshape,f,3
few/close,Sign_Type,lexical signs,3
service,Dominant_start_handshape,horns,3
service,Dominant_end_handshape,horns,3
service,Sign_Type,lexical signs,3
destroy,Dominant_start_handshape,5,22
destroy,Dominant_end_handshape,a,22
destroy,Sign_Type,lexical signs,22
destroy,Dominant_end_handshape,s,22
destroy,Sign_Duration,1100,22
destroy,Handshape,5,22
destroy,Selected_Fingers,imrp,22
destroy,Flexion,fully open,22
destroy,Flexion_Change,True,22
destroy,Spread,True,22
destroy,Spread_Change,True,22
destroy,Thumb_Position,open,22
destroy,Thumb_Contact,False,22
destroy,Sign_Type,symmetrical or alternating,22
destroy,Path_Movement,back and forth,22
destroy,Repeated_Movement,False,22
destroy,Major_Location,neutral,22
destroy,Minor_Location,neutral,22
destroy,Second_Minor_Location,neutral,22
destroy,Contact,True,22
destroy,Nondominant_Handshape,5,22
destroy,Wrist_Twist,False,22
department,Dominant_start_handshape,d,19
department,Dominant_end_handshape,d,19
department,Sign_Type,lexical signs,19
department,Sign_Duration,400,19
department,Handshape,d,19
department,Selected_Fingers,m,19
department,Flexion,curved,19
department,Flexion_Change,False,19
department,Thumb_Position,open,19
department,Thumb_Contact,True,19
department,Sign_Type,symmetrical or alternating,19
department,Path_Movement,curved,19
department,Repeated_Movement,False,19
department,Major_Location,neutral,19
department,Minor_Location,neutral,19
department,Second_Minor_Location,neutral,19
department,Contact,True,19
department,Nondominant_Handshape,1,19
department,Wrist_Twist,True,19
blind,Dominant_start_handshape,crvd–v,19
blind,Dominant_end_handshape,crvd–v,19
blind,Sign_Type,lexical signs,19
blind,Sign_Duration,400,19
blind,Handshape,curved_v,19
blind,Selected_Fingers,im,19
blind,Flexion,curved,19
blind,Flexion_Change,False,19
blind,Spread,True,19
blind,Spread_Change,False,19
blind,Thumb_Position,closed,19
blind,Thumb_Contact,False,19
blind,Sign_Type,one handed,19
blind,Path_Movement,curved,19
blind,Repeated_Movement,False,19
blind,Major_Location,head,19
blind,Minor_Location,eye,19
blind,Contact,True,19
blind,Wrist_Twist,False,19
interrupt,Dominant_start_handshape,b–l,3
interrupt,Dominant_end_handshape,b–l,3
interrupt,Sign_Type,lexical signs,3
night,Dominant_start_handshape,bent–b–l,22
night,Dominant_end_handshape,bent–b–l,22
night,Sign_Type,lexical signs,22
night,Dominant_start_handshape,bent–b,22
night,Dominant_end_handshape,bent–b,22
night,Sign_Duration,1000,22
night,Handshape,flat_b,22
night,Selected_Fingers,imrp,22
night,Flexion,flat,22
night,Flexion_Change,False,22
night,Spread,False,22
night,Spread_Change,False,22
night,Thumb_Position,open,22
night,Thumb_Contact,False,22
night,Sign_Type,asymmetrical same handshape,22
night,Path_Movement,straight,22
night,Repeated_Movement,True,22
night,Major_Location,hand,22
night,Minor_Location,palm back,22
night,Contact,True,22
night,Nondominant_Handshape,flat_b,22
night,Wrist_Twist,False,22
hear/listen,Dominant_start_handshape,crvd–3,5
hear/listen,Dominant_end_handshape,crvd–3,5
hear/listen,Sign_Type,lexical signs,5
hear/listen,Dominant_start_handshape,crvd–5,5
hear/listen,Dominant_end_handshape,crvd–5,5
insult,Dominant_start_handshape,1,18
insult,Dominant_end_handshape,1,18
insult,Sign_Type,lexical signs,18
insult,Sign_Duration,200,18
insult,Handshape,1,18
insult,Selected_Fingers,i,18
insult,Flexion,fully open,18
insult,Flexion_Change,False,18
insult,Thumb_Position,closed,18
insult,Thumb_Contact,False,18
insult,Sign_Type,one handed,18
insult,Path_Movement,curved,18
insult,Repeated_Movement,False,18
insult,Major_Location,neutral,18
insult,Minor_Location,neutral,18
insult,Second_Minor_Location,neutral,18
insult,Contact,False,18
insult,Wrist_Twist,True,18
darts,Dominant_start_handshape,baby–o,3
darts,Dominant_end_handshape,l,3
darts,Sign_Type,lexical signs,3
think+grab–chance,Dominant_start_handshape,1,4
think+grab–chance,Dominant_end_handshape,a,4
think+grab–chance,Sign_Type,compound signs,4
think+grab–chance,Dominant_end_handshape,s,4
insurance/infection,Dominant_start_handshape,i,3
insurance/infection,Dominant_end_handshape,i,3
insurance/infection,Sign_Type,lexical signs,3
cent+one_2,Dominant_start_handshape,1,3
cent+one_2,Dominant_end_handshape,d,3
cent+one_2,Sign_Type,compound signs,3
leave,Dominant_start_handshape,5,23
leave,Dominant_end_handshape,a,23
leave,Sign_Type,lexical signs,23
leave,Dominant_start_handshape,b–l,23
leave,Dominant_end_handshape,s,23
leave,Sign_Duration,300,23
leave,Handshape,open_b,23
leave,Selected_Fingers,imrp,23
leave,Flexion,fully open,23
leave,Flexion_Change,True,23
leave,Spread,False,23
leave,Spread_Change,False,23
leave,Thumb_Position,open,23
leave,Thumb_Contact,False,23
leave,Sign_Type,symmetrical or alternating,23
leave,Path_Movement,straight,23
leave,Repeated_Movement,False,23
leave,Major_Location,neutral,23
leave,Minor_Location,neutral,23
leave,Second_Minor_Location,neutral,23
leave,Contact,False,23
leave,Nondominant_Handshape,open_b,23
leave,Wrist_Twist,False,23
gone,Dominant_start_handshape,crvd–sprd–b,22
gone,Dominant_end_handshape,flat–o,22
gone,Sign_Type,lexical signs,22
gone,Dominant_start_handshape,5,22
gone,Sign_Duration,600,22
gone,Handshape,flatspread_5,22
gone,Selected_Fingers,imrp,22
gone,Flexion,flat,22
gone,Flexion_Change,True,22
gone,Spread,True,22
gone,Spread_Change,True,22
gone,Thumb_Position,open,22
gone,Thumb_Contact,True,22
gone,Sign_Type,asymmetrical different handshape,22
gone,Path_Movement,straight,22
gone,Repeated_Movement,False,22
gone,Major_Location,hand,22
gone,Minor_Location,palm,22
gone,Second_Minor_Location,hand away,22
gone,Contact,True,22
gone,Nondominant_Handshape,c,22
gone,Wrist_Twist,False,22
get–up,Dominant_start_handshape,crvd–v,3
get–up,Dominant_end_handshape,crvd–v,3
get–up,Sign_Type,lexical signs,3
old+four_2,Dominant_start_handshape,c,3
old+four_2,Dominant_end_handshape,4,3
old+four_2,Sign_Type,compound signs,3
these,Dominant_start_handshape,1,20
these,Dominant_end_handshape,1,20
these,Sign_Type,lexical signs,20
these,Dominant_start_handshape,bent–1,20
these,Dominant_end_handshape,bent–1,20
these,Sign_Duration,500,20
these,Handshape,1,20
these,Selected_Fingers,i,20
these,Flexion,fully open,20
these,Flexion_Change,False,20
these,Thumb_Position,closed,20
these,Thumb_Contact,False,20
these,Sign_Type,one handed,20
these,Path_Movement,curved,20
these,Repeated_Movement,False,20
these,Major_Location,neutral,20
these,Minor_Location,neutral,20
these,Second_Minor_Location,neutral,20
these,Contact,False,20
these,Wrist_Twist,False,20
invite/hire,Dominant_start_handshape,bent–b,7
invite/hire,Dominant_end_handshape,bent–b,7
invite/hire,Sign_Type,lexical signs,7
invite/hire,Dominant_start_handshape,crvd–flat–b,7
invite/hire,Dominant_end_handshape,crvd–flat–b,7
invite/hire,Dominant_start_handshape,crvd–b,7
invite/hire,Dominant_end_handshape,crvd–b,7
sixty–nine,Dominant_start_handshape,6,3
sixty–nine,Dominant_end_handshape,f,3
sixty–nine,Sign_Type,number signs,3
know–nothing,Dominant_start_handshape,o,3
know–nothing,Dominant_end_handshape,o,3
know–nothing,Sign_Type,lexical signs,3
emergency,Dominant_start_handshape,loose–e,3
emergency,Dominant_end_handshape,loose–e,3
emergency,Sign_Type,lexical signs,3
see–see,Dominant_start_handshape,v,3
see–see,Dominant_end_handshape,v,3
see–see,Sign_Type,lexical signs,3
#fix,Dominant_start_handshape,f,3
#fix,Dominant_end_handshape,x,3
#fix,Sign_Type,loan signs,3
homework,Dominant_start_handshape,1,21
homework,Dominant_end_handshape,s,21
homework,Sign_Type,lexical signs,21
homework,Dominant_start_handshape,5,21
homework,Sign_Duration,1000,21
homework,Handshape,o,21
homework,Selected_Fingers,imrp,21
homework,Flexion,curved,21
homework,Flexion_Change,False,21
homework,Spread,False,21
homework,Spread_Change,False,21
homework,Thumb_Position,open,21
homework,Thumb_Contact,True,21
homework,Sign_Type,one handed,21
homework,Path_Movement,curved,21
homework,Repeated_Movement,False,21
homework,Major_Location,head,21
homework,Minor_Location,chin,21
homework,Second_Minor_Location,cheek nose,21
homework,Contact,True,21
homework,Wrist_Twist,False,21
girl+correct,Dominant_start_handshape,10,4
girl+correct,Dominant_end_handshape,1,4
girl+correct,Sign_Type,compound signs,4
girl+correct,Dominant_end_handshape,l,4
cover,Dominant_start_handshape,crvd–flat–b,5
cover,Dominant_end_handshape,crvd–flat–b,5
cover,Sign_Type,lexical signs,5
cover,Dominant_start_handshape,b–l,5
cover,Dominant_end_handshape,b–l,5
underpants,Dominant_start_handshape,crvd–l,4
underpants,Dominant_end_handshape,crvd–l,4
underpants,Sign_Type,lexical signs,4
underpants,Dominant_end_handshape,flat–g,4
(x)fool/doll,Dominant_start_handshape,x,3
(x)fool/doll,Dominant_end_handshape,x,3
(x)fool/doll,Sign_Type,lexical signs,3
worse,Dominant_start_handshape,k,21
worse,Dominant_end_handshape,k,21
worse,Sign_Type,lexical signs,21
worse,Sign_Duration,800,21
worse,Handshape,v,21
worse,Selected_Fingers,im,21
worse,Flexion,fully open,21
worse,Flexion_Change,False,21
worse,Spread,True,21
worse,Spread_Change,False,21
worse,Thumb_Position,closed,21
worse,Thumb_Contact,False,21
worse,Sign_Type,symmetrical or alternating,21
worse,Path_Movement,straight,21
worse,Repeated_Movement,False,21
worse,Major_Location,neutral,21
worse,Minor_Location,neutral,21
worse,Second_Minor_Location,neutral,21
worse,Contact,True,21
worse,Nondominant_Handshape,v,21
worse,Wrist_Twist,False,21
sixth,Dominant_start_handshape,6,3
sixth,Dominant_end_handshape,6,3
sixth,Sign_Type,number signs,3
new,Dominant_start_handshape,bent–b–l,23
new,Dominant_end_handshape,bent–b–l,23
new,Sign_Type,lexical signs,23
new,Dominant_start_handshape,crvd–b,23
new,Dominant_end_handshape,crvd–b,23
new,Sign_Duration,400,23
new,Handshape,c,23
new,Selected_Fingers,imrp,23
new,Flexion,curved,23
new,Flexion_Change,False,23
new,Spread,False,23
new,Spread_Change,False,23
new,Thumb_Position,open,23
new,Thumb_Contact,False,23
new,Sign_Type,asymmetrical different handshape,23
new,Path_Movement,curved,23
new,Repeated_Movement,False,23
new,Major_Location,hand,23
new,Minor_Location,palm,23
new,Second_Minor_Location,hand away,23
new,Contact,True,23
new,Nondominant_Handshape,b,23
new,Wrist_Twist,False,23
eat+box/room,Dominant_start_handshape,flat–o,3
eat+box/room,Dominant_end_handshape,b–l,3
eat+box/room,Sign_Type,compound signs,3
twice,Dominant_start_handshape,v,3
twice,Dominant_end_handshape,v,3
twice,Sign_Type,lexical signs,3
#hr,Dominant_start_handshape,u,3
#hr,Dominant_end_handshape,r,3
#hr,Sign_Type,loan signs,3
turn+brother,Dominant_start_handshape,l,3
turn+brother,Dominant_end_handshape,l,3
turn+brother,Sign_Type,compound signs,3
address,Dominant_start_handshape,10,16
address,Dominant_end_handshape,10,16
address,Sign_Type,lexical signs,16
address,Sign_Duration,900,16
address,Handshape,a,16
address,Selected_Fingers,t,16
address,Thumb_Position,open,16
address,Sign_Type,symmetrical or alternating,16
address,Path_Movement,straight,16
address,Repeated_Movement,False,16
address,Major_Location,body,16
address,Minor_Location,torso mid,16
address,Second_Minor_Location,torso top,16
address,Contact,True,16
address,Nondominant_Handshape,a,16
address,Wrist_Twist,False,16
abortion,Dominant_start_handshape,#5–c,4
abortion,Dominant_end_handshape,5,4
abortion,Sign_Type,lexical signs,4
abortion,Dominant_start_handshape,5,4
triple,Dominant_start_handshape,3,22
triple,Dominant_end_handshape,3,22
triple,Sign_Type,lexical signs,22
triple,Sign_Type,number signs,22
triple,Sign_Duration,600,22
triple,Handshape,3,22
triple,Selected_Fingers,im,22
triple,Flexion,fully open,22
triple,Flexion_Change,False,22
triple,Spread,True,22
triple,Spread_Change,False,22
triple,Thumb_Position,open,22
triple,Thumb_Contact,False,22
triple,Sign_Type,asymmetrical different handshape,22
triple,Path_Movement,curved,22
triple,Repeated_Movement,False,22
triple,Major_Location,hand,22
triple,Minor_Location,palm,22
triple,Second_Minor_Location,hand away,22
triple,Contact,True,22
triple,Nondominant_Handshape,b,22
triple,Wrist_Twist,True,22
bless,Dominant_start_handshape,a,15
bless,Dominant_end_handshape,5,15
bless,Sign_Type,lexical signs,15
bless,Sign_Duration,900,15
bless,Handshape,a,15
bless,Selected_Fingers,t,15
bless,Thumb_Position,open,15
bless,Sign_Type,symmetrical or alternating,15
bless,Path_Movement,none,15
bless,Repeated_Movement,False,15
bless,Major_Location,head,15
bless,Minor_Location,mouth,15
bless,Contact,True,15
bless,Nondominant_Handshape,a,15
bless,Wrist_Twist,False,15
gift,Dominant_start_handshape,x,21
gift,Dominant_end_handshape,x,21
gift,Sign_Type,lexical signs,21
gift,Dominant_start_handshape,x–over–thumb,21
gift,Dominant_end_handshape,x–over–thumb,21
gift,Sign_Duration,700,21
gift,Handshape,bent_1,21
gift,Selected_Fingers,i,21
gift,Flexion,bent,21
gift,Flexion_Change,False,21
gift,Thumb_Position,closed,21
gift,Thumb_Contact,False,21
gift,Sign_Type,symmetrical or alternating,21
gift,Path_Movement,curved,21
gift,Repeated_Movement,False,21
gift,Major_Location,neutral,21
gift,Minor_Location,neutral,21
gift,Second_Minor_Location,neutral,21
gift,Contact,False,21
gift,Nondominant_Handshape,bent_1,21
gift,Wrist_Twist,False,21
in–three–years,Dominant_start_handshape,s,3
in–three–years,Dominant_end_handshape,3,3
in–three–years,Sign_Type,lexical signs,3
squared,Dominant_start_handshape,v,3
squared,Dominant_end_handshape,v,3
squared,Sign_Type,number signs,3
jellyfish,Dominant_start_handshape,5,21
jellyfish,Dominant_end_handshape,5,21
jellyfish,Sign_Type,lexical signs,21
jellyfish,Sign_Duration,1400,21
jellyfish,Handshape,flatspread_5,21
jellyfish,Selected_Fingers,imrp,21
jellyfish,Flexion,flat,21
jellyfish,Flexion_Change,True,21
jellyfish,Spread,True,21
jellyfish,Spread_Change,False,21
jellyfish,Thumb_Position,open,21
jellyfish,Thumb_Contact,False,21
jellyfish,Sign_Type,one handed,21
jellyfish,Path_Movement,z–shaped,21
jellyfish,Repeated_Movement,True,21
jellyfish,Major_Location,neutral,21
jellyfish,Minor_Location,neutral,21
jellyfish,Second_Minor_Location,neutral,21
jellyfish,Contact,False,21
jellyfish,Wrist_Twist,False,21
overhead–projector,Dominant_start_handshape,flat–o,3
overhead–projector,Dominant_end_handshape,crvd–sprd–b,3
overhead–projector,Sign_Type,lexical signs,3
class+box/room,Dominant_start_handshape,crvd–sprd–b,4
class+box/room,Dominant_end_handshape,b–l,4
class+box/room,Sign_Type,compound signs,4
class+box/room,Dominant_start_handshape,c,4
book,Dominant_start_handshape,b–l,21
book,Dominant_end_handshape,crvd–b,21
book,Sign_Type,lexical signs,21
book,Sign_Duration,500,21
book,Handshape,open_b,21
book,Selected_Fingers,imrp,21
book,Flexion,fully open,21
book,Flexion_Change,False,21
book,Spread,False,21
book,Spread_Change,False,21
book,Thumb_Position,open,21
book,Thumb_Contact,False,21
book,Sign_Type,symmetrical or alternating,21
book,Path_Movement,curved,21
book,Repeated_Movement,True,21
book,Major_Location,neutral,21
book,Minor_Location,neutral,21
book,Second_Minor_Location,neutral,21
book,Contact,True,21
book,Nondominant_Handshape,open_b,21
book,Wrist_Twist,True,21
thick,Dominant_start_handshape,crvd–5,3
thick,Dominant_end_handshape,crvd–5,3
thick,Sign_Type,lexical signs,3
catch,Dominant_start_handshape,5,4
catch,Dominant_end_handshape,s,4
catch,Sign_Type,lexical signs,4
catch,Dominant_start_handshape,crvd–5,4
move–around,Dominant_start_handshape,flat–o,3
move–around,Dominant_end_handshape,flat–o,3
move–around,Sign_Type,lexical signs,3
focus/narrow,Dominant_start_handshape,b–l,3
focus/narrow,Dominant_end_handshape,b–l,3
focus/narrow,Sign_Type,lexical signs,3
big,Dominant_start_handshape,l–x,19
big,Dominant_end_handshape,l–x,19
big,Sign_Type,lexical signs,19
big,Sign_Duration,800,19
big,Handshape,bent_l,19
big,Selected_Fingers,i,19
big,Flexion,bent,19
big,Flexion_Change,False,19
big,Thumb_Position,open,19
